box_loss,class_loss,loss,val_box_loss,val_class_loss,val_loss
3.9286816120147705,308.55120849609375,313.1493225097656,4.565942764282227,5040.3994140625,5138.1123046875
3.6918187141418457,111.55426025390625,115.25714111328125,3.8550148010253906,361.9503173828125,392.4898986816406
3.1911308765411377,65.12298583984375,68.3701171875,3.371676206588745,123.93717193603516,130.06961059570312
2.986468553543091,44.442264556884766,47.432640075683594,3.2699835300445557,48.55364990234375,49.321258544921875
2.8826892375946045,30.696285247802734,33.588191986083984,3.2927966117858887,988.3150024414062,1094.1683349609375
2.9317007064819336,26.59250259399414,29.546300888061523,3.5930981636047363,33.140113830566406,35.46295928955078
2.784677505493164,20.376440048217773,23.1508846282959,2.9636731147766113,18.64669418334961,21.479358673095703
2.69362211227417,15.449591636657715,18.148935317993164,3.1200904846191406,15.483786582946777,18.092586517333984
2.582479238510132,12.525263786315918,15.106561660766602,2.888138771057129,12.899856567382812,14.61873722076416
2.526772975921631,10.505036354064941,13.039067268371582,2.9567790031433105,85.37275695800781,96.1327896118164
2.3968665599823,8.728952407836914,11.124784469604492,2.595815896987915,10.928851127624512,13.742491722106934
2.285405158996582,7.573422908782959,9.865274429321289,2.6470236778259277,69.49740600585938,78.88481140136719
2.1595726013183594,6.661051273345947,8.823763847351074,2.6535439491271973,34.39726638793945,40.01347351074219
2.1818718910217285,6.135986328125,8.321385383605957,2.5310709476470947,9.332845687866211,12.071433067321777
2.1072945594787598,5.489792346954346,7.599005699157715,2.4079227447509766,8.759349822998047,11.545452117919922
